,Unnamed: 0,title,community,hourseType,area,direction,fitment,elevator,floorInfo,position,price,area_positon
16,16,福德花园 1室1厅 218万,福德花园,1室1厅,42.32平米,东南,其他,有电梯,中楼层(共32层)1999年建板塔结合,螺岭,218.0,罗湖区
17,17,新天地名居高层精装一房，厅出阳台，明厨明卫,新天地名居,1室1厅,38.05平米,北,精装,有电梯,中楼层(共31层)2005年建板塔结合,黄贝岭,225.0,罗湖区
18,18,东方都会一房户型方正 精装修 高层视野好 双地铁物,京基东方都会,1室1厅,34.99平米,南,其他,有电梯,中楼层(共32层)2004年建塔楼,新秀,182.0,罗湖区
19,19,长丰苑朝南向单间 满五年 采光好无遮挡 楼下地铁口,长丰苑,1室0厅,38.8平米,南,其他,有电梯,中楼层(共29层)1999年建板塔结合,春风路,143.0,罗湖区
20,20,联城美园 一室一厅 红本满五 采光通风好 业主诚意卖,联城美园,1室1厅,36.23平米,北,其他,有电梯,中楼层(共35层)2006年建板塔结合,春风路,200.0,罗湖区
21,21,联城美园优质一房 花园泳池小区 近2号线湖贝,联城美园,1室1厅,33.11平米,西,其他,有电梯,低楼层(共35层)2006年建板塔结合,春风路,190.0,罗湖区
22,22,最笋二居室 东南向看翠竹山景 户型好 满二 诚售,万事达名苑,2室1厅,72.44平米,东南,精装,有电梯,中楼层(共31层)2000年建板塔结合,百仕达,360.0,罗湖区
23,23,罗湖区清水河，朝南户型，居家舒适，满五唯一,青湖山庄,3室2厅,70.26平米,北,简装,无电梯,高楼层(共8层)2001年建板塔结合,清水河,258.0,罗湖区
24,24,满五唯一，百仕达片区，小区带公园，游泳池登山道,雍翠华府,2室2厅,68.06平米,东 东南,其他,有电梯,中楼层(共35层)2004年建板塔结合,布心,365.0,罗湖区
25,25,华景园别墅区，电梯住宅洋房，宽敞三居室，三面南向！,华景园公寓,3室2厅,130.09平米,南 北,其他,简装,高楼层(共8层)2000年建板楼,莲塘,750.0,罗湖区
26,26,玉雅居 3室1厅 378万,玉雅居,3室1厅,76.43平米,南,精装,有电梯,中楼层(共11层)1998年建板塔结合,莲塘,378.0,罗湖区
27,27,庐山花园 满两年 精装三房 国贸商圈物业,庐山花园,3室1厅,104.12平米,西北,其他,有电梯,中楼层(共30层)1995年建板塔结合,罗湖口岸,385.0,罗湖区
28,28,城市天地 高楼层朝南看香港 满两年 诚意卖,城市天地广场,1室1厅,50.97平米,南,其他,有电梯,高楼层(共39层)2005年建板塔结合,万象城,289.0,罗湖区
29,29,铂金时代 罗湖口岸方正一房 带3平米入户 可改小两房,铂金时代罗湖,1室1厅,41.6平米,东,其他,有电梯,中楼层(共31层)2008年建板塔结合,罗湖口岸,189.0,罗湖区
30,30,本房满五年唯一免个税 红本在手,梧桐山新居,2室2厅,75.66平米,南 北,其他,无电梯,低楼层(共8层)2001年建板楼,莲塘,400.0,罗湖区
31,31,5、7号线太安站 朝南向 看翠竹山 满五年红本在手,百仕达花园一期,3室1厅,135.16平米,西南,其他,有电梯,中楼层(共32层)1997年建板塔结合,百仕达,900.0,罗湖区
32,32,丹枫白露大两房满5年朝西南诚心出售,丹枫白露城东1号,2室1厅,93.42平米,西南,其他,有电梯,低楼层(共35层)2003年建塔楼,黄贝岭,388.0,罗湖区
33,33,正规的大三房，厅出阳台有阳光。,名骏豪庭,3室2厅,85.97平米,北,其他,有电梯,低楼层(共18层)2003年建板塔结合,莲塘,390.0,罗湖区
34,34,罗湖龙园3房，楼梯8楼，天台隔热，装修精致，看房方便,龙园山庄,3室2厅,80.15平米,南,其他,无电梯,高楼层(共8层)1998年建板塔结合,清水河,300.0,罗湖区
35,35,房子采光户型好，价位合适，优质读书两房,聚龙大厦,2室1厅,56.34平米,南,其他,有电梯,中楼层(共31层)2001年建板塔结合,螺岭,335.0,罗湖区
36,36,房子满两年无增值税，深小未用，采光佳,东悦名轩,2室2厅,64.99平米,西南,其他,有电梯,中楼层(共33层)2004年建板塔结合,东门,386.0,罗湖区
37,37,桐景花园 2室1厅 360万,桐景花园,2室1厅,78.31平米,西北,简装,有电梯,高楼层(共28层)2002年建板塔结合,莲塘,360.0,罗湖区
38,38,蕙兰雅居 2室1厅 370万,蕙兰雅居,2室1厅,73.93平米,南,其他,有电梯,中楼层(共15层)2004年建塔楼,莲塘,370.0,罗湖区
39,39,太安地铁口 喜荟城购物Center 朝南看花园 一手业主,百仕达乐湖,3室2厅,141.96平米,南,其他,有电梯,低楼层(共34层)2008年建板塔结合,百仕达,960.0,罗湖区
40,40,新天地名居一房一厅 东南朝向 采光好,新天地名居,1室1厅,39.27平米,东南,其他,有电梯,中楼层(共31层)2005年建板塔结合,黄贝岭,210.0,罗湖区
41,41,鹏兴花园一期优质三房，满五年，厅出阳台朝南,鹏兴花园一期,3室2厅,103.85平米,南 北,精装,无电梯,低楼层(共7层)1998年建板塔结合,莲塘,530.0,罗湖区
42,42,畔山花园 南向两居室 住家装修 楼层好 户型实用,畔山花园,2室2厅,77.55平米,南,精装,无电梯,中楼层(共8层)1998年建板塔结合,莲塘,328.0,罗湖区
43,43,华清园复试小三房，您安在东湖公园和罗湖体育馆里的家,华清园,3室1厅,74平米,北,其他,其他,中楼层(共17层)2000年建塔楼,新秀,320.0,罗湖区
44,44,铂金时代 两室一厅 精致装修 居家适宜,铂金时代罗湖,2室1厅,51.87平米,北,精装,有电梯,低楼层(共31层)2008年建板塔结合,罗湖口岸,246.0,罗湖区
45,45,罗湖京基东方都会精装二房一厅，视野景观超级棒,京基东方都会,2室1厅,50.83平米,东,其他,有电梯,中楼层(共32层)2004年建塔楼,新秀,290.0,罗湖区
46,46,满五唯一  带私人花园 万科物业 固定车位 实用300平,颐园,5室2厅,163.86平米,西,精装,无电梯,低楼层(共3层)1994年建暂无数据,银湖,1400.0,罗湖区
47,47,水贝珠宝一路之隔 3号线田贝站 满二年 带车位,新港鸿花园,4室2厅,143.79平米,西南,简装,有电梯,中楼层(共28层)1999年建板塔结合,百仕达,680.0,罗湖区
48,48,汇鑫花园 两居室 少有花园式小区 朝南向 采光充足,汇鑫花园,2室1厅,68.27平米,南,精装,有电梯,中楼层(共9层)2000年建板楼,黄贝岭,375.0,罗湖区
49,49,IBC国际，低于市场价，满五唯一红本在手，洪湖公园旁,丰湖花园,1室1厅,41.33平米,北,其他,有电梯,低楼层(共26层)2005年建板塔结合,清水河,166.0,罗湖区
50,50,5号线太安地铁口 待拆迁物业 旁边就是喜荟城跟吉之岛,东乐花园,4室2厅,126.12平米,西北,其他,有电梯,低楼层(共32层)1994年建板塔结合,百仕达,470.0,罗湖区
51,51,丹枫白露苑精装两房，高楼层，视野佳，全面看香港山景,丹枫白露城东1号,2室2厅,94.86平米,西南,其他,有电梯,高楼层(共35层)2003年建塔楼,黄贝岭,405.0,罗湖区
52,52,翠华花园 3室2厅 730万,翠华花园,3室2厅,116.7平米,南,简装,无电梯,高楼层(共7层)1987年建板塔结合,黄贝岭,730.0,罗湖区
53,53,联城美园 高楼层 朝东南两房 满5唯一 业主急卖,联城美园,2室1厅,60.86平米,东,精装,有电梯,中楼层(共35层)2006年建板塔结合,春风路,350.0,罗湖区
54,54,满五唯一  红本在手 赠送6平 首付53万 只有契税,红桂皇冠,1室0厅,37.16平米,东北,精装,有电梯,中楼层(共26层)2007年建板塔结合,地王,175.0,罗湖区
55,55,云景豪园 两房 高楼层 采光通风好,云景豪园,2室1厅,67.94平米,东南,精装,有电梯,中楼层(共29层)2002年建板塔结合,春风路,350.0,罗湖区
56,56,金色年华 南向 一房一厅 精装 看房方便,金色年华家园,1室1厅,37.85平米,南,其他,有电梯,低楼层(共26层)2005年建板塔结合,莲塘,235.0,罗湖区
57,57,锦缘里嘉园两房  三面采光 2015年小区 管家式管理,锦缘里嘉园,2室2厅,66.06平米,东北,其他,精装,高楼层(共24层)2015年建板塔结合,新秀,400.0,罗湖区
58,58,螺岭未用，免个税，带花园小区，朝南，采光通风视野好,缤纷时代家园,3室2厅,95.75平米,东南 南,精装,有电梯,高楼层(共33层)2004年建板塔结合,螺岭,640.0,罗湖区
59,59,罗湖金岸，南向两房看香港山，口岸物业，国贸商圈,罗湖金岸大厦,2室1厅,43.45平米,南,其他,有电梯,高楼层(共33层)2003年建板塔结合,罗湖口岸,200.0,罗湖区
60,60,小高层带电梯， 户型方正，客厅出阳台， 朝南，满两年,鸿园居,2室1厅,68平米,南,精装,有电梯,中楼层(共9层)2000年建板塔结合,百仕达,350.0,罗湖区
61,61,业主出国发展 急售 赠送入户 采光好无遮挡,泊林花园,2室1厅,60.99平米,西,其他,有电梯,低楼层(共30层)2006年建板塔结合,翠竹,360.0,罗湖区
62,62,小区楼下幼儿园，接送方便，洪湖 小 学，桂圆 中 学,源兴居,2室1厅,53.16平米,南,其他,有电梯,高楼层(共32层)2002年建板塔结合,洪湖,278.0,罗湖区
63,63,端头位置2房 一手业主 红本 沃尔玛楼上 田贝站500米,旭飞华达园,2室1厅,50.34平米,东南,其他,有电梯,高楼层(共24层)2002年建塔楼,百仕达,268.0,罗湖区
64,64,聚福花园 朝南 厅出阳台的两房 中高楼层 业主诚心出售,聚福花园,2室2厅,73.23平米,南,简装,有电梯,低楼层(共22层)2002年建塔楼,莲塘,340.0,罗湖区
65,65,罗湖大澎花园正规大3房满5唯一红本在手南北通透,大澎花园,3室2厅,96.6平米,南 北,其他,有电梯,高楼层(共9层)1997年建板塔结合,新秀,480.0,罗湖区
66,66,风格名苑朝南两房 阳光充足 满两年 主卧带大阳台,风格名苑,2室1厅,62.54平米,南,精装,有电梯,中楼层(共30层)2006年建板塔结合,地王,380.0,罗湖区
67,67,龙景花园方正四房 南北通透 满五唯一 精装 业主诚售,龙景花园,4室2厅,129.46平米,北,其他,有电梯,高楼层(共12层)1998年建板楼,新秀,680.0,罗湖区
68,68,鸿翔花园大三房满五年税费低，西南向的户型方正,鸿翔花园,3室1厅,97.92平米,西南,精装,有电梯,低楼层(共32层)2006年建板塔结合,地王,730.0,罗湖区
69,69,鹏兴花园五期 3室1厅 460万,鹏兴花园五期,3室1厅,80.79平米,南,简装,有电梯,高楼层(共18层)2002年建板塔结合,莲塘,460.0,罗湖区
70,70,汇鑫花园 两房 通风好 住家装修,汇鑫花园,2室1厅,62.49平米,西,精装,有电梯,低楼层(共9层)2000年建板楼,黄贝岭,288.0,罗湖区
71,71,罗湖便利位置 东南两房 家私齐全看房随时 诚意出售,长丰苑,2室1厅,62.73平米,东,精装,有电梯,低楼层(共29层)1999年建板塔结合,春风路,270.0,罗湖区
72,72,鸿翔花园满五免个税 精装5房 配套齐全带花园 中间位置,鸿翔花园,5室2厅,182.7平米,东南,精装,有电梯,低楼层(共32层)2006年建板塔结合,地王,1380.0,罗湖区
73,73,鸿景翠峰花园 5室1厅 1150万,鸿景翠峰花园,5室1厅,170.99平米,东南,精装,有电梯,高楼层(共22层)2007年建板塔结合,莲塘,1150.0,罗湖区
74,74,黄贝岭 满五年 红本在手 可上螺岭 诚心出售 精致装修,金城华庭,1室1厅,35.5平米,西北,其他,有电梯,中楼层(共24层)2003年建板塔结合,螺岭,270.0,罗湖区
75,75,满二年，装修不错! 采光好！朝向好!螺岭!,金城华庭,1室1厅,38.66平米,东,精装,有电梯,低楼层(共24层)2003年建板塔结合,螺岭,275.0,罗湖区
76,76,联城美园 精装修 满两年 朝南无遮挡 业主诚意出售,联城美园,1室1厅,34.38平米,南,其他,有电梯,高楼层(共35层)2006年建板塔结合,春风路,208.0,罗湖区
77,77,"嘉宾花园高楼层东向方正大四,万象城，深圳书城，地铁",嘉宾花园,4室2厅,119.31平米,东,其他,有电梯,中楼层(共25层)1992年建板塔结合,万象城,560.0,罗湖区
78,78,汇泰大厦边角户型精装一房一厅  安静又明亮 宽敞通透,汇泰大厦,1室1厅,41.8平米,北,其他,有电梯,低楼层(共33层)2008年建板塔结合,罗湖口岸,225.0,罗湖区
79,79,TCL雅馨居 1室1厅 168万,TCL雅馨居,1室1厅,31.17平米,西南,其他,有电梯,中楼层(共29层)2002年建塔楼,地王,168.0,罗湖区
80,80,东门正规七房，高赠送，东门商圈，楼下地铁，交通便利,南塘物业小区,7室2厅,88.37平米,东 南,其他,有电梯,低楼层(共25层)2007年建板塔结合,东门,562.0,罗湖区
81,81,太阳新城  一居室，卧室出阳台，对小区中庭,太阳新城,1室1厅,42.98平米,西北,其他,有电梯,低楼层(共18层)2002年建板塔结合,布心,210.0,罗湖区
82,82,汇泰大厦大一房已改两房，满五年红本在手，罗湖关口,汇泰大厦,1室1厅,39.71平米,南,简装,有电梯,低楼层(共33层)2008年建板塔结合,罗湖口岸,220.0,罗湖区
83,83,南洋大厦 两房一厅 满五年  装修好 卧室出阳台,南洋大厦,2室1厅,51.1平米,北,精装,有电梯,高楼层(共28层)1985年建板塔结合,春风路,203.0,罗湖区
84,84,南洋大厦 实用两居室 通风采光好 红本在手 适合住家,南洋大厦,2室1厅,51.58平米,东北,其他,有电梯,高楼层(共28层)1985年建板塔结合,春风路,190.0,罗湖区
85,85,怡景地铁站 满五唯一 高楼层 视野宽阔 采光充足,峰景台大厦,4室2厅,166.35平米,东南,其他,有电梯,高楼层(共28层)1994年建板塔结合,黄贝岭,745.0,罗湖区
86,86,双阳台户型 看翠竹山景 中间楼层 保养好 满二年,万事达名苑,2室2厅,68.58平米,南,精装,有电梯,低楼层(共31层)2000年建板塔结合,百仕达,368.0,罗湖区
87,87,汇鑫花园一期 精装大2房 地铁口物业 居家氛围良好,汇鑫花园,2室1厅,65.52平米,北,其他,有电梯,中楼层(共9层)2000年建板楼,黄贝岭,305.0,罗湖区
88,88,新天地名居54+9两房，满五，户型方正,新天地名居,2室1厅,54.12平米,东北,简装,有电梯,低楼层(共31层)2005年建板塔结合,黄贝岭,355.0,罗湖区
89,89,朗钜御风庭 地铁口物业 两房 ，满五年红,朗钜御风庭,2室1厅,58.14平米,东南,其他,有电梯,低楼层(共28层)2004年建板塔结合,黄贝岭,340.0,罗湖区
90,90,满二年，装修好，居家安静!螺岭！小区环境不错！,金城华庭,2室2厅,55.82平米,东北,简装,有电梯,低楼层(共24层)2003年建板塔结合,螺岭,415.0,罗湖区
91,91,星桂园精装两房 厅出阳台 地铁口,星桂园,2室1厅,55.92平米,东南,精装,有电梯,高楼层(共20层)2004年建板塔结合,地王,336.0,罗湖区
92,92,龙丽园 深中旁边的电梯房  红本在手 精致装修,龙丽园,2室1厅,69.77平米,西北,其他,有电梯,低楼层(共28层)1998年建板塔结合,翠竹,480.0,罗湖区
93,93,水厂住宅楼122.97三居室，东湖公园里的家，天然氧吧！,莲塘供水住宅楼,3室2厅,122.97平米,南 北,其他,精装,高楼层(共6层)板塔结合,莲塘,688.0,罗湖区
94,94,嘉多利花园 3室2厅 960万,嘉多利花园,3室2厅,113.99平米,南 北,简装,有电梯,中楼层(共25层)2001年建板塔结合,翠竹,960.0,罗湖区
95,95,源兴居 高楼层 无遮挡 满两年 带阳台 安静宜居 地铁,源兴居,2室1厅,53.13平米,北,其他,有电梯,高楼层(共32层)2002年建板塔结合,洪湖,265.0,罗湖区
96,96,阳光新干线方正两局 满两年带花园泳池小区,阳光新干线家园,2室1厅,62.6平米,东北,简装,有电梯,低楼层(共33层)2005年建塔楼,春风路,300.0,罗湖区
97,97,汇鑫花园高层东南向，精装，红本，户型方正通风采光好,汇鑫花园,3室1厅,92.9平米,东南,精装,有电梯,高楼层(共26层)2002年建板楼,黄贝岭,558.0,罗湖区
98,98,通透户型，小两房，居家适合，总价低，压力小,金祥都市花园,2室2厅,49.96平米,南 北,精装,无电梯,中楼层(共8层)1998年建板塔结合,清水河,190.0,罗湖区
99,99,万科东方尊峪 2室1厅 540万,万科东方尊峪,2室1厅,88.64平米,西南,其他,有电梯,中楼层(共18层)2008年建板塔结合,莲塘,540.0,罗湖区
100,100,天越翔园 2室1厅 350万,天越翔园,2室1厅,63.76平米,南,其他,有电梯,中楼层(共20层)2007年建板塔结合,莲塘,350.0,罗湖区
101,101,东南向 看翠竹山 闹中取静 户型方正3/5/7号地铁线围绕,万事达名苑,2室1厅,69.26平米,东南,其他,有电梯,低楼层(共17层)1999年建板塔结合,百仕达,340.0,罗湖区
102,102,新秀 大澎花园 花园两房居家装修 电梯 满五年 红本,大澎花园,2室2厅,69.59平米,北,其他,有电梯,中楼层(共11层)1997年建板塔结合,新秀,320.0,罗湖区
103,103,优质东方都会一房满五年税费少精装修可拎包入住,京基东方都会,1室1厅,35.54平米,西,其他,有电梯,中楼层(共32层)2004年建板塔结合,新秀,177.0,罗湖区
104,104,鹏兴花园一期端头位两房 无遮挡 视线很好,鹏兴花园一期,2室2厅,79.65平米,南,精装,无电梯,中楼层(共8层)2000年建板塔结合,莲塘,425.0,罗湖区
105,105,四季御园 4室2厅 780万,四季御园,4室2厅,124.62平米,南,其他,有电梯,中楼层(共47层)2015年建板塔结合,莲塘,780.0,罗湖区
106,106,新天地名居东南向无间道大阳台，带装修，满五年,新天地名居,1室1厅,38.36平米,东南,简装,有电梯,低楼层(共31层)2005年建板塔结合,黄贝岭,232.0,罗湖区
107,107,二改三   中高楼层  装修好  满五唯一又红本在手,名骏豪庭,2室1厅,69.28平米,西北,精装,有电梯,高楼层(共18层)2003年建板塔结合,莲塘,365.0,罗湖区
108,108,山水大宅，满五唯一，南北通透，安静居家,淘金山一期,4室2厅,193.96平米,南 北,精装,有电梯,高楼层(共32层)2006年建板塔结合,布心,1500.0,罗湖区
109,109,庐江春天公寓 2室1厅 215万,庐江春天公寓,2室1厅,52.21平米,南 北,其他,有电梯,中楼层(共15层)2011年建板塔结合,笋岗,215.0,罗湖区
110,110,新天地名居精装南向三房，带生活阳台满五年，安静舒适,新天地名居,3室2厅,87.07平米,西南,精装,有电梯,低楼层(共31层)2005年建板塔结合,黄贝岭,580.0,罗湖区
111,111,房子采光视野好   装修保养好 朝南采光好,旺业豪苑,4室1厅,141.96平米,东南,其他,有电梯,高楼层(共33层)2003年建板塔结合,东门,690.0,罗湖区
112,112,阳光绿地家园 2室1厅 218万,阳光绿地家园,2室1厅,38.37平米,东北,其他,有电梯,中楼层(共27层)2007年建板塔结合,百仕达,218.0,罗湖区
113,113,庐峰翠苑 红本满五年 小区景观好 花园小区  户型方正,庐峰翠苑,3室1厅,101.06平米,西,精装,有电梯,低楼层(共17层)2000年建板塔结合,黄贝岭,628.0,罗湖区
114,114,深中满5年税费少   洪湖公园50M（后花园）看湖景荷花,逸湖居,3室1厅,83.82平米,西,其他,有电梯,中楼层(共23层)2001年建板塔结合,翠竹,500.0,罗湖区
115,115,罗湖区龙园山庄 3层复式 带花园 实用面积大 满五红本,龙园山庄,4室2厅,151.07平米,南,简装,无电梯,低楼层(共8层)1997年建板塔结合,清水河,750.0,罗湖区
116,116,莲塘仙泉山庄，四层高档别墅，享受生活，未来口岸配套,仙泉山庄,5室2厅,197.28平米,东,其他,精装,高楼层(共4层)暂无数据,莲塘,2400.0,罗湖区
117,117,罗湖莲塘 广岭家园 满五年，南朝向看山景，通风采光好,广岭家园,3室2厅,100.46平米,东南,精装,有电梯,中楼层(共12层)2002年建板塔结合,莲塘,630.0,罗湖区
118,118,中信星光名庭精装四房 南北通透 视野开阔 满五年 红本,中信星光名庭,4室2厅,187.5平米,南 北,精装,有电梯,中楼层(共25层)2003年建板塔结合,东门,1250.0,罗湖区
119,119,格局明亮通透 安静位置 一手红本（免个税）,百仕达花园一期,4室2厅,150平米,南,简装,有电梯,中楼层(共9层)1997年建板塔结合,百仕达,900.0,罗湖区
120,120,罗湖体育馆 华清园 两房 东向厅出阳台 少税,华清园,2室1厅,58.9平米,东,其他,简装,高楼层(共12层)2002年建塔楼,新秀,278.0,罗湖区
121,121,国贸商圈 大两房可改三房中间楼层 满两年价格实惠,云景豪园,2室2厅,72.19平米,西北,精装,有电梯,中楼层(共29层)2002年建板塔结合,春风路,330.0,罗湖区
122,122,虹桥星座标准大两房 东南向满五年唯一 自住田园装修,虹桥星座大厦,2室1厅,60.44平米,东南,精装,有电梯,低楼层(共22层)2005年建板塔结合,笋岗,330.0,罗湖区
123,123,深中+翠北 地铁口精装三房 客厅出阳台 业主诚心出售,金丽豪苑,3室1厅,101.68平米,东,精装,有电梯,高楼层(共34层)2000年建板塔结合,翠竹,610.0,罗湖区
124,124,螺啊岭螺啊岭螺啊岭~精装修两房换房急卖~好房不等,福德花园,2室1厅,63.26平米,东,其他,有电梯,中楼层(共32层)1999年建板塔结合,螺岭,325.0,罗湖区
125,125,仙湖脚下，莲塘好地，鹏兴花园五期，复式三房，过来看,鹏兴花园五期,3室2厅,74.1平米,南,精装,有电梯,中楼层(共16层)2002年建板塔结合,莲塘,475.0,罗湖区
126,126,特殊特殊特殊改造户型、看过来，适合自住！,幸福万象,3室2厅,49.28平米,北,精装,有电梯,中楼层(共32层)2015年建板楼,罗湖口岸,330.0,罗湖区
127,127,景园大厦 3室1厅 450万,景园大厦,3室1厅,101.35平米,西北,简装,有电梯,中楼层(共30层)1994年建塔楼,黄贝岭,450.0,罗湖区
128,128,港逸豪庭3房，诚意放卖，主推，放心来电,港逸豪庭,3室1厅,106.49平米,西南,简装,有电梯,中楼层(共43层)2000年建板塔结合,罗湖口岸,465.0,罗湖区
129,129,鸿景翠峰花园 5室2厅 980万,鸿景翠峰花园,5室2厅,171平米,南,其他,有电梯,低楼层(共22层)2007年建板塔结合,莲塘,980.0,罗湖区
130,130,翠竹大二房，楼层高视野开阔，业主诚心出售随时可看。,怡泰大厦,2室1厅,67.53平米,北,简装,有电梯,高楼层(共29层)2004年建板塔结合,黄贝岭,345.0,罗湖区
131,131,翠盈嘉园 精装修 客厅出阳台 楼层好视野开阔 品质小区,翠盈嘉园,2室1厅,68.68平米,东 北,精装,有电梯,中楼层(共34层)2002年建板塔结合,洪湖,380.0,罗湖区
132,132,全新装修 有钥匙即看房源 拎包入住,百仕达花园一期,3室1厅,117.72平米,南 北,其他,有电梯,中楼层(共9层)1997年建板塔结合,百仕达,710.0,罗湖区
133,133,龙园山庄 3室2厅 450万,龙园山庄,3室2厅,110.56平米,南,其他,有电梯,中楼层(共30层)2000年建板塔结合,清水河,450.0,罗湖区
134,134,满五年家庭就这一套可免个税 看花园安静  视野好,鹏兴花园二期,4室2厅,122.93平米,南 北,其他,有电梯,中楼层(共10层)2000年建板塔结合,莲塘,750.0,罗湖区
135,135,港莲一村||城市更新||南向三房，视野宽阔，香港山景,港莲一村,3室2厅,84.26平米,南,简装,无电梯,中楼层(共7层)1988年建板塔结合,莲塘,452.0,罗湖区
136,136,聚福花园  家庭梦想的朝南三房  满五唯一 装修良好,聚福花园,3室1厅,92.86平米,南 西南,简装,有电梯,中楼层(共22层)2002年建塔楼,莲塘,430.0,罗湖区
137,137,A天越翔园 南向高层小两房 满五唯一红本 位置优 诚售,天越翔园,2室1厅,45.2平米,南,简装,有电梯,中楼层(共20层)2007年建板塔结合,莲塘,268.0,罗湖区
138,138,180度圆弧景窗 看人工湖大三房 楼层好采光棒 业主诚售,百仕达花园二期,3室1厅,130.67平米,东北,精装,有电梯,中楼层(共17层)1999年建板塔结合,百仕达,698.0,罗湖区
139,139,看三色180度景观 敞亮通透居家两房,万事达名苑,2室1厅,68.68平米,东南 西南,精装,有电梯,高楼层(共31层)2000年建板塔结合,百仕达,372.0,罗湖区
140,140,聚宝花园 3室1厅 480万,聚宝花园,3室1厅,103.64平米,南 北,其他,有电梯,中楼层(共17层)1999年建板楼,莲塘,480.0,罗湖区
141,141,鹏兴花园一期大三房客厅南向，住家价装修,鹏兴花园一期,3室2厅,103.24平米,南,精装,无电梯,中楼层(共8层)1998年建板塔结合,莲塘,550.0,罗湖区
142,142,金色都汇 精装复试二居室 满两年 红本在手 户型方正,金色都汇,2室2厅,43.93平米,西北,精装,有电梯,高楼层(共25层)2004年建板楼,春风路,347.0,罗湖区
143,143,畔山花园 中间楼层 户型实用 双阳台 业主诚心出售,畔山花园,3室2厅,88.96平米,北,精装,无电梯,中楼层(共8层)1998年建板塔结合,莲塘,395.0,罗湖区
144,144,万科俊园精装5房 满五唯一 红本,万科俊园,5室2厅,187.01平米,西北,简装,有电梯,中楼层(共43层)2009年建板塔结合,黄贝岭,920.0,罗湖区
145,145,翠拥华庭大两房可改三房 东南朝向 看翠竹山景靠山物业,翠拥华庭,2室1厅,87.27平米,东,其他,有电梯,低楼层(共32层)2000年建板塔结合,百仕达,500.0,罗湖区
146,146,长丰苑 精装高层两房  交通便利,长丰苑,2室1厅,68.61平米,东北,精装,有电梯,中楼层(共30层)2000年建板塔结合,春风路,320.0,罗湖区
147,147,松泉山庄 只一套在卖 三房两厅两卫双阳台 满五年红本,松泉山庄,3室2厅,94.29平米,南 北,精装,无电梯,高楼层(共7层)1997年建板塔结合,布心,435.0,罗湖区
